Sample ID	OTZ number	sample	reads	Type	Cruise	platform	cast	deployment	depth	experiment	diel	unique_id	rep	depth_group2	depth_group	temp	oxy	sal	fluor
OTZ-12S-1668	OTZ-1668	EN688 C10 N16	208326	sample	EN688	ctd	10	C010	91	daytime high-res	day	10_91							
OTZ-12S-1667	OTZ-1667	EN688 C10 N14	170929	sample	EN688	ctd	10	C010	120	daytime high-res	day	10_120							
OTZ-12S-1666	OTZ-1666	EN688 C10 N12	171242	sample	EN688	ctd	10	C010	151	daytime high-res	day	10_151							
OTZ-12S-1665	OTZ-1665	EN688 C10 N9	155514	sample	EN688	ctd	10	C010	201	daytime high-res	day	10_201							
OTZ-12S-1664	OTZ-1664	EN688 C10 N7	179315	sample	EN688	ctd	10	C010	252	daytime high-res	day	10_252							
OTZ-12S-1663	OTZ-1663	EN688 C10 N5	190468	sample	EN688	ctd	10	C010	302	daytime high-res	day	10_302							
OTZ-12S-1662	OTZ-1662	EN688 C10 N3	155368	sample	EN688	ctd	10	C010	400	daytime high-res	day	10_400							
OTZ-12S-1661	OTZ-1661	EN688 C10 N1	50509	sample	EN688	ctd	10	C010	500	daytime high-res	day	10_500							
OTZ-12S-1616	OTZ-1616	EN688 C10 Ctrl	186399	control	EN688	ctd	10	C010	NA	daytime high-res									
OTZ-12S-1688	OTZ-1688	EN688 C11 N23	53761	sample	EN688	ctd	11	C011	14	daytime high-res	day	11_14							
OTZ-12S-1687	OTZ-1687	EN688 C11 N22	150963	sample	EN688	ctd	11	C011	25	daytime high-res	day	11_25							
OTZ-12S-1686	OTZ-1686	EN688 C11 N21	183805	sample	EN688	ctd	11	C011	34	daytime high-res	day	11_34							
OTZ-12S-1685	OTZ-1685	EN688 C11 N20	459	sample	EN688	ctd	11	C011	46	daytime high-res	day	11_46							
OTZ-12S-1684	OTZ-1684	EN688 C11 N19	184095	sample	EN688	ctd	11	C011	54	daytime high-res	day	11_54							
OTZ-12S-1683	OTZ-1683	EN688 C11 N17	18753	sample	EN688	ctd	11	C011	75	daytime high-res	day	11_75							
OTZ-12S-1682	OTZ-1682	EN688 C11 N16	148457	sample	EN688	ctd	11	C011	92	daytime high-res	day	11_92							
OTZ-12S-1681	OTZ-1681	EN688 C11 N14	179737	sample	EN688	ctd	11	C011	120	daytime high-res	day	11_120							
OTZ-12S-1680	OTZ-1680	EN688 C11 N12	149441	sample	EN688	ctd	11	C011	151	daytime high-res	day	11_151							
OTZ-12S-1679	OTZ-1679	EN688 C11 N09	2747	sample	EN688	ctd	11	C011	201	daytime high-res	day	11_201							
OTZ-12S-1678	OTZ-1678	EN688 C11 N07	143059	sample	EN688	ctd	11	C011	253	daytime high-res	day	11_253							
OTZ-12S-1677	OTZ-1677	EN688 C11 N05	79899	sample	EN688	ctd	11	C011	302	daytime high-res	day	11_302							
OTZ-12S-1676	OTZ-1676	EN688 C11 N03	124644	sample	EN688	ctd	11	C011	404	daytime high-res	day	11_404							
OTZ-12S-1675	OTZ-1675	EN688 C11 N01	95567	sample	EN688	ctd	11	C011	511	daytime high-res	day	11_511							
OTZ-12S-1617	OTZ-1617	EN688 C11 Ctrl	98446	control	EN688	ctd	11	C011	NA	daytime high-res									
OTZ-12S-1696	OTZ-1696	EN688 C12 N23	99507	sample	EN688	ctd	12	C012	15	daytime high-res	day	12_15							
OTZ-12S-1695	OTZ-1695	EN688 C12 N22	8695	sample	EN688	ctd	12	C012	26	daytime high-res	day	12_26							
OTZ-12S-1694	OTZ-1694	EN688 C12 N21	171815	sample	EN688	ctd	12	C012	35	daytime high-res	day	12_35							
OTZ-12S-1693	OTZ-1693	EN688 C12 N20	134655	sample	EN688	ctd	12	C012	46	daytime high-res	day	12_46							
OTZ-12S-1692	OTZ-1692	EN688 C12 N19	145153	sample	EN688	ctd	12	C012	55	daytime high-res	day	12_55							
OTZ-12S-1691	OTZ-1691	EN688 C12 N17	163496	sample	EN688	ctd	12	C012	75	daytime high-res	day	12_75							
OTZ-12S-1690	OTZ-1690	EN688 C12 N16	173326	sample	EN688	ctd	12	C012	91	daytime high-res	day	12_91							
OTZ-12S-1689	OTZ-1689	EN688 C12 N14	155062	sample	EN688	ctd	12	C012	121	daytime high-res	day	12_121							
OTZ-12S-1623	OTZ-1623	EN688 C12 N12	26175	sample	EN688	ctd	12	C012	151	daytime high-res		12_151							
OTZ-12S-1622	OTZ-1622	EN688 C12 N9	62204	sample	EN688	ctd	12	C012	200	daytime high-res		12_200							
OTZ-12S-1621	OTZ-1621	EN688 C12 N7	41309	sample	EN688	ctd	12	C012	250	daytime high-res		12_250							
OTZ-12S-1620	OTZ-1620	EN688 C12 N5	165712	sample	EN688	ctd	12	C012	299	daytime high-res		12_299							
OTZ-12S-1619	OTZ-1619	EN688 C12 N3	252116	sample	EN688	ctd	12	C012	404	daytime high-res		12_404							
OTZ-12S-1618	OTZ-1618	EN688 C12 N1	54704	sample	EN688	ctd	12	C012	507	daytime high-res		12_507							
OTZ-12S-1697	OTZ-1697	EN688 C12 Ctrl	167525	control	EN688	ctd	12	C012	NA	daytime high-res	day								
